Custom_Time_Name,"Custom_Time_Code","Country Name","Country Code","GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","Individuals using the Internet (% of population) [IT.NET.USER.ZS]","Railways, passengers carried (million passenger-km) [IS.RRS.PASG.KM]","Air transport, passengers carried [IS.AIR.PSGR]","Air transport, registered carrier departures worldwide [IS.AIR.DPRT]","Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]","Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS]","CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high) [IQ.CPA.TRAN.XQ]","UHC service coverage index [SH.UHC.SRVS.CV.XD]"
Most Recent Value,"(Most Recent Value)","Jamaica","JAM","8275.76945231599(2018)","55.0720670507751(2017)","..","180951.272(2018)","1215.272(2018)","122.6662661827(2016)","26.2256965006339(2017)","..","65(2017)"
Most Recent Value,"(Most Recent Value)","Japan","JPN","39293.6915823441(2018)","91.2816084864932(2018)","1410(2018)","126387527(2018)","999594(2018)","196.416942668695(2016)","11.6419465077444(2017)","..","83(2017)"
Most Recent Value,"(Most Recent Value)","Jordan","JOR","8410.85607171098(2018)","66.7903144326458(2017)","503.537(2010)","3383805(2018)","36127(2018)","75.3868896615264(2016)","15.0269778416689(2017)","..","76(2017)"
Most Recent Value,"(Most Recent Value)","Kazakhstan","KAZ","24738.3628319674(2018)","78.9039190578816(2018)","19241.2(2017)","7143797(2018)","83287(2018)","16.7692758640144(2016)","11.7180004489966(2018)","..","76(2017)"
Most Recent Value,"(Most Recent Value)","Kenya","KEN","3076.8448179161(2018)","17.8271002088645(2017)","..","5935831.09691728(2018)","137602.178444667(2018)","..","15.6790483963108(2017)","3(2018)","55(2017)"
Most Recent Value,"(Most Recent Value)","Kiribati","KIR","2035.44972759998(2018)","14.5818181818182(2017)","..","66567(2018)","5005(2018)","..","22.1694177669482(2017)","3.5(2018)","41(2017)"
Most Recent Value,"(Most Recent Value)","Korea, Dem. People’s Rep.","PRK","..","0(2012)","..","103560(2018)","460(2018)","..","..","..","71(2017)"
Most Recent Value,"(Most Recent Value)","Korea, Rep.","KOR","36776.5192834919(2018)","96.0228595797887(2018)","23002(2018)","88157579(2018)","526374(2018)","40.3607233268095(2016)","15.3758088638479(2017)","..","86(2017)"
Most Recent Value,"(Most Recent Value)","Kosovo","XKX","10069.671103264(2018)","89.44303197(2018)","..","..","..","..","..","3(2018)",".."
Most Recent Value,"(Most Recent Value)","Kuwait","KWT","64683.7299822447(2018)","99.5988495907557(2018)","..","6464847(2018)","46450(2018)","..","1.38077874761047(2015)","..","76(2017)"
