Custom_Year_Name,"Custom_Year_Code","Country Name","Country Code","Hospital beds (per 1,000 people) [SH.MED.BEDS.ZS]","Physicians (per 1,000 people) [SH.MED.PHYS.ZS]","Smoking prevalence, total, ages 15+ [SH.PRV.SMOK]","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]","Out-of-pocket expenditure (% of current health expenditure) [SH.XPD.OOPC.CH.ZS]","People with basic handwashing facilities including soap and water (% of population) [SH.STA.HYGN.ZS]","Population ages 0-14 (% of total population) [SP.POP.0014.TO.ZS]","Population ages 15-64 (% of total population) [SP.POP.1564.TO.ZS]","Population ages 65 and above (% of total population) [SP.POP.65UP.TO.ZS]","Population, total [SP.POP.TOTL]","Rural population (% of total population) [SP.RUR.TOTL.ZS]","Diabetes prevalence (% of population ages 20 to 79) [SH.STA.DIAB.ZS]","Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD]","Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%) [SH.UHC.OOPC.25.ZS]","GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","Poverty headcount ratio at national poverty line (% of population) [SI.POV.NAHC]","Public spending on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]"
Most Recent Value,"(Most Recent Value)","Papua New Guinea","PNG","","0.0529(2010)","36.3(2016)","1.2(2016)","7.85301738(2016)","","35.8159344007888(2018)","60.738796347755(2018)","3.44526925145617(2018)","8606316(2018)","86.831(2018)","17.9(2019)","55.15180669(2016)","","2570(2018)","61.6(2010)","",""
Most Recent Value,"(Most Recent Value)","Paraguay","PRY","1.3(2011)","1.366(2018)","13.4(2016)","7.2(2016)","37.85777947(2016)","79.6015253008444(2017)","29.4405055961229(2018)","64.1292793944163(2018)","6.43021500946081(2018)","6956071(2018)","38.415(2018)","9.6(2019)","327.23510514(2016)","1.93376205861568(2014)","5670(2018)","94.0208(2018)","24.2(2018)","3.43834(2016)"
Most Recent Value,"(Most Recent Value)","Peru","PER","1.6(2014)","1.27(2016)","4.8(2016)","6.3(2016)","28.28794557(2016)","","25.7906028460802(2018)","66.121004362089(2018)","8.08839279183076(2018)","31989256(2018)","22.093(2018)","6.6(2019)","316.43713498(2016)","1.26741409301758(2018)","6470(2018)","94.40827(2018)","20.5(2018)","3.92396(2017)"
Most Recent Value,"(Most Recent Value)","Philippines","PHL","1(2011)","1.275(2010)","24.3(2016)","6.6(2016)","53.9422867(2016)","78.4629630309315(2017)","30.9630402017999(2018)","63.9143910299006(2018)","5.12256876829946(2018)","106651922(2018)","53.093(2018)","7.1(2019)","129.4326091(2016)","1.41477715224028(2015)","3830(2018)","98.18255(2015)","21.6(2015)",""
Most Recent Value,"(Most Recent Value)","Poland","POL","6.5(2013)","2.3998(2016)","28(2016)","11.6(2016)","22.94439071(2016)","","15.052276813695(2018)","67.4299064237598(2018)","17.5178167625452(2018)","37978548(2018)","39.942(2018)","6.1(2019)","809.01490244(2016)","1.31569402292371(2016)","14100(2018)","","15.4(2018)","4.63931(2016)"
Most Recent Value,"(Most Recent Value)","Portugal","PRT","3.4(2013)","3.3356(2016)","22.7(2016)","12.3(2016)","27.75165369(2016)","","13.4579078221324(2018)","64.5882346402803(2018)","21.9538575375873(2018)","10281762(2018)","34.789(2018)","9.8(2019)","1800.85991928(2016)","3.3110786229372(2010)","21990(2018)","96.13759(2018)","","4.88294(2015)"
Most Recent Value,"(Most Recent Value)","Puerto Rico","PRI","","","","","","","16.8360861114438(2018)","64.4890636781993(2018)","18.6748502103569(2018)","3195153(2018)","6.422(2018)","13.7(2019)","","","21100(2018)","92.39(2017)","","6.07266(2014)"
Most Recent Value,"(Most Recent Value)","Qatar","QAT","1.2(2014)","0.0008(2017)","20.6(2016)","2(2016)","8.55090946(2016)","","13.5407641851225(2018)","85.08916547614(2018)","1.3700703387375(2018)","2781677(2018)","0.864999999999995(2018)","15.6(2019)","1827.06034376(2016)","","61150(2018)","93.46397(2017)","","2.86383(2017)"
Most Recent Value,"(Most Recent Value)","Romania","ROU","6.3(2013)","2.2586(2016)","29.7(2016)","12.7(2016)","20.74990053(2016)","","15.5345549605626(2018)","66.1267436456077(2018)","18.3387013938296(2018)","19473936(2018)","46.002(2018)","6.9(2019)","476.36830872(2016)","2.19121426343918(2016)","11290(2018)","98.8445(2018)","23.6(2017)","3.10676(2015)"
Most Recent Value,"(Most Recent Value)","Russian Federation","RUS","8.2(2013)","4.0139(2016)","39.3(2016)","11.7(2016)","40.48464987(2016)","","17.9140805801319(2018)","67.4112110994962(2018)","14.6747083203719(2018)","144478050(2018)","25.567(2018)","6.1(2019)","469.13086784(2016)","0.595720252022147(2014)","10230(2018)","99.73006(2018)","12.9(2018)","3.74321(2016)"
Most Recent Value,"(Most Recent Value)","Rwanda","RWA","","0.1346(2017)","12.3(2016)","9(2016)","6.37545625(2016)","4.61727834496984(2017)","39.9755730179801(2018)","57.0862309044811(2018)","2.9381960775388(2018)","12301939(2018)","82.789(2018)","5.1(2019)","48.07821533(2016)","0.130721891764551(2016)","780(2018)","73.21559(2018)","38.2(2016)","3.11334(2018)"
Most Recent Value,"(Most Recent Value)","Samoa","WSM","","0.3409(2016)","27.7(2016)","2.5(2016)","11.88112415(2016)","","38.3206970922199(2018)","56.8788909340281(2018)","4.80041197375197(2018)","196130(2018)","81.757(2018)","9.2(2019)","227.14850878(2016)","","4020(2018)","99.09577(2018)","20.3(2013)","4.08047(2016)"
Most Recent Value,"(Most Recent Value)","San Marino","SMR","3.8(2012)","6.1468(2014)","","","18.79042832(2016)","","","","","33785(2018)","2.774(2018)","5.9(2019)","3012.79423602(2016)","","","99.91643(2018)","","3.04131(2017)"
Most Recent Value,"(Most Recent Value)","Sao Tome and Principe","STP","2.9(2011)","0.32(2015)","","6.8(2016)","14.40314743(2016)","41.3398746181137(2017)","42.5199499592471(2018)","54.5543719316868(2018)","2.9256781090661(2018)","211028(2018)","27.197(2018)","2.4(2019)","105.13438534(2016)","","1890(2018)","92.81664(2018)","66.2(2010)","4.85713(2017)"
Most Recent Value,"(Most Recent Value)","Saudi Arabia","SAU","2.7(2014)","2.39(2016)","15.6(2016)","0.2(2016)","14.3444269(2016)","","25.0428481279098(2018)","71.6430638491404(2018)","3.31408802294981(2018)","33699947(2018)","16.156(2018)","15.8(2019)","1147.3329702(2016)","","21600(2018)","95.32863(2017)","",""
Most Recent Value,"(Most Recent Value)","Senegal","SEN","","0.0692(2016)","8.2(2016)","0.7(2016)","51.7679385(2016)","24.1458760766427(2017)","43.0554303706314(2018)","53.8577459283503(2018)","3.08682370101833(2018)","15854360(2018)","52.808(2018)","2.4(2019)","52.60971245(2016)","0.19358053104952(2011)","1410(2018)","51.90042(2017)","46.7(2011)","4.81492(2017)"
Most Recent Value,"(Most Recent Value)","Serbia","SRB","5.7(2012)","3.125(2016)","38.9(2016)","11.1(2016)","40.50330103(2016)","97.7189336095414(2014)","15.6896807521828(2018)","65.964526556121(2018)","18.3457926916963(2018)","6982084(2018)","43.908(2018)","9(2019)","494.42058398(2016)","0.530415680259466(2015)","6390(2018)","98.2892(2018)","24.3(2017)","3.95618(2017)"
Most Recent Value,"(Most Recent Value)","Seychelles","SYC","3.6(2011)","0.9458(2016)","21.5(2016)","12(2016)","2.08418592(2016)","","23.6353711790393(2018)","68.7700832166104(2018)","7.59454560435034(2018)","96762(2018)","43.309(2018)","12.3(2019)","596.92307058(2016)","1.60337686538696(2013)","15600(2018)","95.86771(2018)","39.3(2013)","4.41832(2016)"
Most Recent Value,"(Most Recent Value)","Sierra Leone","SLE","","0.025(2011)","24.8(2016)","5.7(2016)","41.55205435(2016)","19.2751381624786(2017)","41.0596393534767(2018)","55.9738044352072(2018)","2.96655621131612(2018)","7650154(2018)","57.945(2018)","2.4(2019)","86.30818595(2016)","22.1598148345947(2011)","490(2018)","43.20633(2018)","52.9(2011)","4.63577(2017)"
Most Recent Value,"(Most Recent Value)","Singapore","SGP","2.4(2015)","2.3063(2016)","16.5(2016)","2(2016)","31.17329814(2016)","","12.2782826362627(2018)","76.2583371703582(2018)","11.4633801933791(2018)","5638676(2018)","0(2018)","5.5(2019)","2462.3936773(2016)","1.47486424446106(2012)","58770(2018)","97.34486(2018)","","2.89769(2013)"
Most Recent Value,"(Most Recent Value)","Sint Maarten (Dutch part)","SXM","","","","","","","","","","40654(2018)","0(2018)","6.8(2019)","","","","","",""
Most Recent Value,"(Most Recent Value)","Slovak Republic","SVK","5.8(2015)","2.4643(2016)","30.1(2016)","11.5(2016)","17.82929568(2016)","","15.4461367603311(2018)","68.9246167348919(2018)","15.629246504777(2018)","5447011(2018)","46.274(2018)","6.5(2019)","1178.73823051(2016)","0.4376329947263(2010)","18260(2018)","","12.6(2013)","3.90267(2016)"
Most Recent Value,"(Most Recent Value)","Slovenia","SVN","4.6(2013)","2.9953(2016)","22.5(2016)","12.6(2016)","12.00222396(2016)","","15.0217750478021(2018)","65.3713452980191(2018)","19.6068796541788(2018)","2067372(2018)","45.459(2018)","5.9(2019)","1834.16071169(2016)","0.259759998880327(2012)","24580(2018)","99.7(2014)","14.3(2014)","4.79565(2016)"
Most Recent Value,"(Most Recent Value)","Solomon Islands","SLB","1.4(2012)","0.1999(2016)","","1.4(2016)","4.60296469(2016)","35.8896731801542(2017)","40.2415842979397(2018)","56.1594652427714(2018)","3.59895045928894(2018)","652858(2018)","76.251(2018)","19(2019)","106.33939442(2016)","","2020(2018)","","12.7(2013)","9.86063(2010)"
Most Recent Value,"(Most Recent Value)","Somalia","SOM","0.9(2014)","0.0229(2014)","","0(2016)","","9.83124898319752(2017)","46.5765840679638(2018)","50.5501049890906(2018)","2.87331094294556(2018)","15008154(2018)","55.029(2018)","5.1(2019)","","","","","",""
Most Recent Value,"(Most Recent Value)","South Africa","ZAF","","0.9101(2017)","20.3(2016)","9.3(2016)","7.75091387(2016)","43.9925735928541(2017)","29.0794891477129(2018)","65.6025058468641(2018)","5.31800500542302(2018)","57779622(2018)","33.645(2018)","12.7(2019)","428.17601764(2016)","0.122727197594941(2010)","5750(2018)","87.04667(2017)","55.5(2014)","6.16137(2018)"
Most Recent Value,"(Most Recent Value)","South Sudan","SSD","","","","","","","41.8201214348455(2018)","54.7813956853029(2018)","3.39848287985152(2018)","10975920(2018)","80.385(2018)","10.2(2019)","","","1130(2015)","34.52276(2018)","82.3(2016)","0.98115(2017)"
Most Recent Value,"(Most Recent Value)","Spain","ESP","3(2013)","4.0691(2016)","29.3(2016)","10(2016)","23.82637129(2016)","","14.6670011075355(2018)","65.954491369965(2018)","19.3785075224995(2018)","46723749(2018)","19.679(2018)","6.9(2019)","2389.88740785(2016)","1.21353287249803(2010)","29340(2018)","98.4365(2018)","","4.20911(2016)"
Most Recent Value,"(Most Recent Value)","Sri Lanka","LKA","3.6(2012)","0.958(2017)","13(2016)","4.3(2016)","50.12159989(2016)","","24.1970010216799(2018)","65.3297792245361(2018)","10.4732197537841(2018)","21670000(2018)","81.524(2018)","10.7(2019)","153.09678414(2016)","0.896759688854218(2016)","4060(2018)","91.89575(2017)","4.1(2016)","2.80152(2017)"
Most Recent Value,"(Most Recent Value)","St. Kitts and Nevis","KNA","2.3(2012)","2.523(2015)","","9.4(2016)","51.50755535(2016)","","","","","52441(2018)","69.224(2018)","13.3(2019)","930.76518312(2016)","","18340(2018)","","","2.60631(2015)"
Most Recent Value,"(Most Recent Value)","St. Lucia","LCA","1.3(2013)","","","9.9(2016)","48.70086849(2016)","87.2019621286766(2016)","18.5288830000715(2018)","71.6645866435024(2018)","9.80653035642617(2018)","181889(2018)","81.322(2018)","11.6(2019)","489.76139493(2016)","","9560(2018)","","25(2016)","3.83341(2018)"
Most Recent Value,"(Most Recent Value)","St. Martin (French part)","MAF","","","","","","","","","","37264(2018)","","","","","","","",""
Most Recent Value,"(Most Recent Value)","St. Vincent and the Grenadines","VCT","2.6(2014)","0.6587(2010)","","8.2(2016)","20.50078196(2016)","","22.5413071290525(2018)","67.8689060075673(2018)","9.58978686338024(2018)","110210(2018)","47.802(2018)","11.6(2019)","250.2166125(2016)","","7340(2018)","","","5.78273(2017)"
Most Recent Value,"(Most Recent Value)","Sudan","SDN","0.8(2013)","0.41(2015)","","0.5(2016)","73.8938757(2016)","23.4373649642129(2017)","40.5087918665567(2018)","55.9100476051919(2018)","3.58116052825144(2018)","41801533(2018)","65.358(2018)","22.1(2019)","152.02214088(2016)","","1560(2018)","60.69718(2018)","",""
Most Recent Value,"(Most Recent Value)","Suriname","SUR","3.1(2010)","1.2265(2018)","25(2016)","5.1(2016)","21.82023742(2016)","67.7789706544644(2014)","27.170263372628(2018)","65.9233667251168(2018)","6.90636990225525(2018)","575991(2018)","33.94(2018)","12.5(2019)","356.05148319(2016)","1.35123324394226(2016)","5210(2018)","94.38327(2018)","",""
Most Recent Value,"(Most Recent Value)","Sweden","SWE","2.6(2013)","5.3996(2016)","18.8(2016)","9.2(2016)","15.24386699(2016)","","17.5817854599214(2018)","62.3226896122783(2018)","20.0955249278002(2018)","10183175(2018)","12.569(2018)","4.8(2019)","5710.59141927(2016)","","55490(2018)","","","7.66993(2016)"
Most Recent Value,"(Most Recent Value)","Switzerland","CHE","4.7(2013)","4.2363(2016)","25.7(2016)","11.5(2016)","29.56175891(2016)","","14.9109547691069(2018)","66.4658286661214(2018)","18.6232165647717(2018)","8516543(2018)","26.203(2018)","5.7(2019)","9835.96368572(2016)","","84410(2018)","","","5.11332(2016)"
Most Recent Value,"(Most Recent Value)","Syrian Arab Republic","SYR","1.5(2014)","1.22(2016)","","0.3(2016)","53.69127815(2012)","70.5980897208659(2017)","31.4215408068559(2018)","64.0753347716682(2018)","4.50312442147583(2018)","16906283(2018)","45.838(2018)","13.5(2019)","66.14174239(2012)","","","","",""
Most Recent Value,"(Most Recent Value)","Tajikistan","TJK","4.8(2013)","1.7003(2014)","","3.3(2016)","66.05616253(2016)","72.703504543367(2017)","36.7842840794279(2018)","60.1938283684959(2018)","3.02188755207627(2018)","9100837(2018)","72.866(2018)","6.1(2019)","55.69698772(2016)","","1010(2018)","99.8(2014)","27.4(2018)","5.23139(2015)"
Most Recent Value,"(Most Recent Value)","Tanzania","TZA","0.7(2010)","0.0399(2014)","14.8(2016)","9.4(2016)","21.89363217(2016)","47.9526927093602(2017)","44.0982381505459(2018)","53.3004626710946(2018)","2.60129917835952(2018)","56318348(2018)","66.224(2018)","5.7(2019)","35.49967383(2016)","1.22717516496777(2011)","1020(2018)","77.88723(2015)","26.4(2018)","3.38488(2014)"
Most Recent Value,"(Most Recent Value)","Thailand","THA","2.1(2010)","0.8096(2017)","19.9(2016)","8.3(2016)","12.11388242(2016)","83.9233581954672(2017)","17.0869888171064(2018)","71.0121180433042(2018)","11.9008931395893(2018)","69428524(2018)","50.051(2018)","7(2019)","221.91767602(2016)","0.410364925861359(2017)","6610(2018)","92.86831(2015)","9.9(2018)","4.12402(2013)"
Most Recent Value,"(Most Recent Value)","Timor-Leste","TLS","5.9(2010)","0.7197(2017)","42.6(2016)","2.1(2016)","8.87931948(2016)","28.1782288377724(2017)","37.7806642722958(2018)","57.9028434336982(2018)","4.31649229400603(2018)","1267972(2018)","69.422(2018)","6.7(2019)","79.89393546(2016)","0.501173257827759(2014)","1820(2018)","68.06683(2018)","41.8(2014)","3.84654(2017)"
Most Recent Value,"(Most Recent Value)","Togo","TGO","0.7(2011)","0.0487(2015)","7.4(2016)","3.1(2016)","50.41664978(2016)","10.4748055917358(2017)","41.334523499723(2018)","55.7960084891888(2018)","2.86946801108822(2018)","7889094(2018)","58.298(2018)","2.4(2019)","38.77137729(2016)","","660(2018)","63.74562(2015)","55.1(2015)","4.9847(2016)"
Most Recent Value,"(Most Recent Value)","Tonga","TON","2.6(2010)","0.5223(2013)","27.9(2016)","1.5(2016)","10.97578726(2016)","","35.4157582100255(2018)","58.6305803463279(2018)","5.95366144364662(2018)","103197(2018)","76.869(2018)","15.7(2019)","203.15022392(2016)","","4300(2018)","99.41437(2018)","",""
Most Recent Value,"(Most Recent Value)","Trinidad and Tobago","TTO","3(2014)","2.6697(2015)","","8.4(2016)","40.08087154(2016)","89.4432038359682(2015)","20.419572570427(2018)","68.8454739132406(2018)","10.7349535163324(2018)","1389858(2018)","46.816(2018)","11(2019)","1063.8270624(2016)","1.92928537726402(2014)","15950(2018)","98.7(2010)","",""
Most Recent Value,"(Most Recent Value)","Tunisia","TUN","2.3(2015)","1.2722(2016)","32.7(2016)","1.9(2016)","39.90196245(2016)","78.6868906487833(2017)","24.1701203463736(2018)","67.5142005746377(2018)","8.31567907898877(2018)","11565204(2018)","31.055(2018)","8.5(2019)","256.50184479(2016)","2.66474008560181(2015)","3500(2018)","79.03643(2014)","15.2(2015)","6.59921(2015)"
Most Recent Value,"(Most Recent Value)","Turkey","TUR","2.7(2013)","1.7605(2014)","27.2(2016)","2(2016)","16.46612089(2016)","","24.6494101390807(2018)","66.8673769209477(2018)","8.4832129399716(2018)","82319724(2018)","24.857(2018)","11.1(2019)","468.64728125(2016)","0.363605469465256(2016)","10420(2018)","96.15053(2017)","13.9(2017)",""
Most Recent Value,"(Most Recent Value)","Turkmenistan","TKM","7.4(2013)","2.2248(2014)","","5.4(2016)","76.19281773(2016)","100(2017)","30.8223639401863(2018)","64.7510015978736(2018)","4.42663446194014(2018)","5850908(2018)","48.407(2018)","6.1(2019)","422.84882869(2016)","","6740(2018)","99.7(2014)","","3.04925(2012)"
Most Recent Value,"(Most Recent Value)","Turks and Caicos Islands","TCA","","","","","","","","","","37665(2018)","6.902(2018)","","","","26740(2018)","","","2.75847(2018)"
Most Recent Value,"(Most Recent Value)","Tuvalu","TUV","","0.9174(2014)","","1.7(2016)","0.66553863(2016)","","","","","11508(2018)","37.613(2018)","22.1(2019)","507.3523714(2016)","","5430(2018)","","26.3(2010)",""
Most Recent Value,"(Most Recent Value)","Uganda","UGA","0.5(2010)","0.0908(2015)","10(2016)","9.5(2016)","40.31956712(2016)","21.2224894594787(2017)","46.9305251819863(2018)","51.1284878975505(2018)","1.94098692046317(2018)","42723139(2018)","76.226(2018)","2.5(2019)","37.60696696(2016)","3.7723857909441(2016)","620(2018)","76.5275(2018)","21.4(2016)","2.63501(2017)"
Most Recent Value,"(Most Recent Value)","Ukraine","UKR","8.8(2013)","3.0075(2014)","28.9(2016)","8.6(2016)","54.33840332(2016)","","15.8124131732483(2018)","67.7529003875501(2018)","16.4346864392016(2018)","44622516(2018)","30.648(2018)","6.1(2019)","141.19114781(2016)","0.846646632999182(2014)","2660(2018)","99.97435(2012)","1.3(2018)","5.414(2017)"
Most Recent Value,"(Most Recent Value)","United Arab Emirates","ARE","1.2(2013)","2.3944(2016)","28.9(2016)","3.8(2016)","18.56537376(2016)","","14.6035093701468(2018)","84.3114896450084(2018)","1.08500098484481(2018)","9630959(2018)","13.478(2018)","16.3(2019)","1323.11680312(2016)","","40880(2018)","","",""
Most Recent Value,"(Most Recent Value)","United Kingdom","GBR","2.8(2013)","2.8058(2017)","22.3(2016)","11.5(2016)","15.11796713(2016)","","17.6780820689573(2018)","63.926052256896(2018)","18.3958656741466(2018)","66488991(2018)","16.602(2018)","3.9(2019)","3958.01889383(2016)","0.48044491559267(2013)","41770(2018)","","","5.48697(2016)"
Most Recent Value,"(Most Recent Value)","United States","USA","2.9(2013)","2.5948(2016)","21.8(2016)","9.8(2016)","11.0866775(2016)","","18.7090399824651(2018)","65.4833059619314(2018)","15.8076540556035(2018)","327167434(2018)","17.744(2018)","10.8(2019)","9869.74238174(2016)","0.780771672725677(2013)","63080(2018)","","","4.96174(2014)"
Most Recent Value,"(Most Recent Value)","Uruguay","URY","2.8(2014)","5.0499(2017)","16.8(2016)","10.8(2016)","17.37109192(2016)","","20.6079810743386(2018)","64.5774993948021(2018)","14.8145195308593(2018)","3449299(2018)","4.666(2018)","7.3(2019)","1379.09855737(2016)","","15650(2018)","98.70386(2018)","8.1(2018)","4.86891(2017)"
Most Recent Value,"(Most Recent Value)","Uzbekistan","UZB","4(2013)","2.3685(2014)","12.6(2016)","2.7(2016)","52.24782443(2016)","","28.6860574147675(2018)","66.8948047070961(2018)","4.4191378781364(2018)","32955400(2018)","49.522(2018)","6.5(2019)","135.11115848(2016)","","2020(2018)","99.98657(2016)","14.1(2013)","6.28948(2017)"
Most Recent Value,"(Most Recent Value)","Vanuatu","VUT","","0.1706(2016)","18.6(2016)","1(2016)","8.41932455(2016)","25.2091496960843(2017)","38.8482301489682(2018)","57.5116167828345(2018)","3.64015306819735(2018)","292680(2018)","74.726(2018)","11.9(2019)","109.81414068(2016)","","3130(2018)","87.50631(2018)","12.7(2010)","4.69537(2017)"
Most Recent Value,"(Most Recent Value)","Venezuela, RB","VEN","0.8(2014)","","","5.6(2016)","39.95965063(2016)","","27.6666505810652(2018)","65.0663627988088(2018)","7.26698662012597(2018)","28870195(2018)","11.792(2018)","7(2019)","1578.44019243(2015)","","13080(2014)","97.12709(2016)","33.1(2015)",""
Most Recent Value,"(Most Recent Value)","Vietnam","VNM","2.6(2014)","0.8199(2016)","22.8(2016)","8.4(2016)","44.5728191(2016)","85.8465441491179(2017)","23.1726768317012(2018)","69.5523448704195(2018)","7.2749782978793(2018)","95540395(2018)","64.081(2018)","6(2019)","122.84117394(2016)","1.89719963818789(2016)","2360(2018)","95.00038(2018)","6.7(2018)","4.34481(2016)"
Most Recent Value,"(Most Recent Value)","Virgin Islands (U.S.)","VIR","","","","","","","19.7134123041651(2018)","60.998280473825(2018)","19.2883072220099(2018)","106977(2018)","4.279(2018)","12.3(2019)","","","","","",""
Most Recent Value,"(Most Recent Value)","West Bank and Gaza","PSE","","","","","","","38.9473612779327(2018)","57.9193329849872(2018)","3.13330573708009(2018)","4569087(2018)","23.836(2018)","9.5(2019)","","0.966022908687592(2016)","3710(2018)","97.21861(2018)","29.2(2016)","5.25234(2017)"
Most Recent Value,"(Most Recent Value)","Yemen, Rep.","YEM","0.7(2014)","0.3104(2014)","18.4(2016)","0.1(2016)","80.95723796(2015)","49.5423544284257(2017)","39.6148902740523(2018)","57.5088399699032(2018)","2.87626975604452(2018)","28498687(2018)","63.358(2018)","5.4(2019)","72.03946941(2015)","4.15904968976974(2014)","1460(2014)","","48.6(2014)",""
Most Recent Value,"(Most Recent Value)","Zambia","ZMB","2(2010)","0.0913(2016)","13.8(2016)","4.8(2016)","12.11791117(2016)","13.9380800136336(2017)","44.9361411568244(2018)","52.9641808172429(2018)","2.09967802593266(2018)","17351822(2018)","56.479(2018)","4.5(2019)","56.5441821(2016)","0.00912041869014502(2010)","1430(2018)","86.74796(2018)","54.4(2015)",""
Most Recent Value,"(Most Recent Value)","Zimbabwe","ZWE","1.7(2011)","0.0763(2014)","15.8(2016)","4.8(2016)","21.24270783(2016)","36.7912611732953(2017)","42.4010662380439(2018)","54.659410108955(2018)","2.93952365300113(2018)","14439018(2018)","67.791(2018)","1.8(2019)","93.94222513(2016)","","1790(2018)","88.69342(2014)","70(2017)","6.13835(2014)"
Most Recent Value,"(Most Recent Value)","Arab World","ARB","1.62452358185493(2014)","1.09730257439853(2015)","21.9558575283589(2016)","0.617288895830425(2016)","31.3138635156071(2016)","70.1717347207878(2017)","32.7804361810202(2018)","62.6616873953689(2018)","4.55787642361103(2018)","419790588(2018)","41.0745814068609(2018)","12.5359728836622(2019)","339.580122579259(2016)","","6367.23688163545(2018)","74.5966(2018)","",""
Most Recent Value,"(Most Recent Value)","Caribbean small states","CSS","2.26723392472779(2013)","1.56862756546055(2015)","","6.02722394448465(2016)","33.3885040161479(2016)","76.2009636283775(2015)","23.7129242507539(2018)","67.4904170002725(2018)","8.79665874897365(2018)","7358965(2018)","48.8006384223868(2018)","11.6291677143576(2019)","567.215387259962(2016)","","9240.08567263888(2018)","91.12809(2015)","",""
Most Recent Value,"(Most Recent Value)","Central Europe and the Baltics","CEB","6.42144666078239(2013)","2.88071606891767(2015)","30.3940435020874(2016)","12.1773029894738(2016)","22.9716833748035(2016)","","15.1356421360653(2018)","66.4042393677876(2018)","18.4601184961471(2018)","102511922(2018)","37.6679239372373(2018)","6.29606751951231(2019)","851.236089503038(2016)","","14563.8760810507(2018)","98.99005(2016)","",""
Most Recent Value,"(Most Recent Value)","Early-demographic dividend","EAR","1.22517407197752(2011)","0.940110841099725(2015)","17.0260539331026(2016)","4.07342428990028(2016)","37.1368286764335(2016)","59.4864040602994(2017)","28.8975707496211(2018)","65.2846235663376(2018)","5.8178056840413(2018)","3249140605(2018)","54.8687433013281(2018)","10.0911796578345(2019)","157.547650650788(2016)","","3567.86136140768(2018)","79.35073(2018)","",""
Most Recent Value,"(Most Recent Value)","East Asia & Pacific","EAS","4.44360048737964(2012)","1.57677255193971(2015)","26.2329350192921(2016)","6.55081860545038(2016)","25.6811679776847(2016)","","19.7675470402693(2018)","69.4880949556083(2018)","10.7443580041224(2018)","2328220870(2018)","40.9472113285627(2018)","8.20262598117286(2019)","638.573905648442(2016)","3.52765107154846(2015)","10982.3125162637(2018)","95.6076(2018)","",""
Most Recent Value,"(Most Recent Value)","East Asia & Pacific (excluding high income)","EAP","3.64740030992424(2012)","1.47614850035586(2015)","26.7134317654002(2016)","6.30947381148546(2016)","36.1687392648875(2016)","","20.4988123856016(2018)","70.0049497407552(2018)","9.49623787364322(2018)","2081651801(2018)","44.3664117617363(2018)","8.48791756998485(2019)","313.644245499255(2016)","","7600.54858640789(2018)","95.86556(2018)","",""
Most Recent Value,"(Most Recent Value)","East Asia & Pacific (IDA & IBRD countries)","TEA","3.5142490496806(2012)","1.44864298658614(2015)","26.7134317654002(2016)","6.33956350346432(2016)","36.16752936878(2016)","","20.5024995139321(2018)","69.9992529215217(2018)","9.49824756454622(2018)","2056064424(2018)","44.4449079814641(2018)","8.51396077418963(2019)","313.656137324467(2016)","","7680.52526736329(2018)","95.81489(2018)","",""
Most Recent Value,"(Most Recent Value)","Euro area","EMU","6.16749081248063(2013)","3.84775760417248(2015)","29.1331546377296(2016)","11.1676611653188(2016)","15.4442837771498(2016)","","15.0681169063958(2018)","64.3315954996938(2018)","20.6002875939103(2018)","341783171(2018)","23.0082672893716(2018)","6.7561965407452(2019)","3588.12025136626(2016)","","38774.4862123343(2018)","","",""
Most Recent Value,"(Most Recent Value)","Europe & Central Asia","ECS","5.92492146211432(2013)","3.37292525195215(2015)","29.2900593888585(2016)","9.8815638385573(2016)","17.7836403005829(2016)","","18.0150568463075(2018)","65.6360525492978(2018)","16.3488906043948(2018)","918793590(2018)","27.8164894989411(2018)","6.6845231200051(2019)","2092.60917875574(2016)","1.15114831924438(2015)","24328.6522444637(2018)","98.33417(2018)","",""
Most Recent Value,"(Most Recent Value)","Europe & Central Asia (excluding high income)","ECA","6.3536554875275(2013)","3.04527637050058(2015)","30.9814314470003(2016)","8.15566392881992(2016)","35.9450473546055(2016)","","21.0390865541104(2018)","66.9139360505531(2018)","12.0469773953365(2018)","417797257(2018)","33.0526194856177(2018)","7.21219810724786(2019)","371.159406634548(2016)","","7804.19489996088(2018)","99.0011(2018)","",""
Most Recent Value,"(Most Recent Value)","Europe & Central Asia (IDA & IBRD countries)","TEC","6.36194887522994(2013)","2.99048061330749(2015)","30.7749340764248(2016)","8.4706479844763(2016)","33.400656959502(2016)","","20.4843891459536(2018)","66.9400119353542(2018)","12.5755989186922(2018)","459865205(2018)","33.7131676874065(2018)","7.09695593547362(2019)","412.527432643055(2016)","","8379.28578681819(2018)","98.98185(2018)","",""
